# Usage counts of Esperanto lemmas, generated 2026-09-16 by scripts/freq/reduce.ts; see corpus/freq/README.md
# source hplt: tokens=415894885 documents=818878 licence="CC0 1.0 (HPLT v2, cleaned, epo_Latn; https://hplt-project.org/datasets/v2.0)" url=https://data.hplt-project.org/two/cleaned/epo_Latn/1.jsonl.zst sha256=79f6ee679844bc0f85b16282751463555e349e0f07ba6dc38bf7169c5da908d3 bytes=1136770835 fetched=2026-09-16
# source tekstaro: tokens=14959183 documents=128 licence="no licence stated (https://tekstaro.com/elshuti.html); text used locally only" url=https://tekstaro.com/elshutebla/tekstaro_de_esperanto_xml_kun_streketoj.zip sha256=980a25d50a5af8454269702896a5861fd5d7b132f1c920518b74f42116e751c3 bytes=74373930 fetched=2026-09-16 edition="4-a eldono (versio 4.0)"
# rows: every lemma ReVo lists (zero counts kept) and every other lemma with hplt >= 50 or tekstaro >= 5
# lemma	hplt	tekstaro
a	339870	6163
a-a	82	4
a-b	126	0
a-bariono	60	0
a-bombo	119	1
a-ekzameno	71	2
a-fero	103	0
a-finaĵa	67	1
a-finaĵo	516	2
a-formo	196	0
a-ha	60	0
a-horizonto	56	0
a-k	96	4
a-karaktera	132	0
a-klasa	64	5
a-komitatano	84	8
a-kordo	64	0
a-landano	61	3
a-lando	118	6
a-lingvo	5	6
a-maĵora	124	1
a-maĵoro	241	0
a-minora	218	0
a-minoro	375	0
a-n	33	9
a-o	91	1
a-parto	97	0
a-serio	57	0
a-vitamino	102	0
a-vivo	52	0
a-vorta	110	0
a-vorte	19	0
a-vorteca	147	0
a-vorto	1635	4
a-z	162	0
aa	2039	43
aaa	627	16
aaaa	76	3
aaaaa	118	1
aaaaaa	58	0
aab	68	1
aaba	55	0
aabach	208	0
aac	289	0
aacer	105	0
aache	1119	9
aacm	84	0
aadam	57	0
aadmi	5	5
aadorf	145	0
aage	51	3
aai	96	10
aaie	292	0
aak	72	0
aalborg	216	3
aale	1008	39
aalge	55	0
aalst	274	1
aalto	189	0
aam	32	6
aamir	52	0
aan	380	2
aap	86	18
aar	106	0
aarai	69	0
aarberg	584	0
aare	94	1
aargai	96	0
aarhi	221	7
aarne	99	6
aaro	5813	313
aarona	55	0
aaronido	236	19
aarono	690	34
